Time(s),CompressorEnergyConsumed(KWh),DefrostEnergyConsumed(KWh),TotalEnergyConsumed(KWh)
0,0.00,0.00,0.06
5,0.00,0.13,0.13
5,0.00,0.00,0.13
10,0.00,0.00,0.13
15,0.00,0.19,0.19
15,0.00,0.00,0.19
20,0.00,0.00,0.19
25,0.00,0.00,0.20
30,0.00,0.26,0.26
30,0.00,0.00,0.26
35,0.00,0.00,0.26
40,0.00,0.33,0.33
40,0.00,0.00,0.33
45,0.00,0.39,0.39
45,0.00,0.00,0.40
50,0.00,0.46,0.46
50,0.00,0.00,0.46
55,0.01,0.00,0.47
60,0.01,0.53,0.53
60,0.01,0.00,0.54
65,0.01,0.00,0.54
70,0.01,0.00,0.55
75,0.01,0.61,0.61
75,0.01,0.00,0.62
80,0.01,0.68,0.68
80,0.01,0.00,0.69
85,0.01,0.75,0.75
85,0.01,0.00,0.76
90,0.01,0.00,0.77
95,0.01,0.00,0.78
100,0.01,0.00,0.78
105,0.01,0.00,0.79
110,0.01,0.00,0.80
115,0.01,0.00,0.81
120,0.01,0.00,0.83
125,0.01,0.00,0.84
130,0.01,0.90,0.90
130,0.01,0.00,0.91
135,0.01,0.97,0.97
135,0.01,0.00,0.99
140,0.01,0.00,1.00
145,0.01,1.06,1.06
145,0.01,0.00,1.07
150,0.01,0.00,1.09
155,0.01,1.15,1.15
155,0.01,0.00,1.16
160,0.01,0.00,1.18
