Time(s),Temperature(C),Humidity(%)
0,-17.57,55.90
5,-21.32,55.12
10,-13.81,47.81
15,-15.30,59.02
20,-20.25,53.98
25,-13.64,64.11
30,-20.70,54.67
35,-18.34,56.81
40,-16.14,61.02
45,-14.36,53.67
50,-13.71,52.28
55,-19.48,49.31
60,-14.69,49.55
65,-19.22,56.12
70,-13.96,55.21
75,-16.48,63.41
80,-15.04,57.65
85,-18.83,62.71
90,-20.58,53.02
95,-13.27,60.82
100,-16.38,61.58
105,-15.22,55.32
110,-20.04,51.42
115,-15.12,64.35
120,-15.99,47.52
125,-14.01,60.77
130,-13.77,50.43
135,-14.94,53.69
140,-18.20,48.46
145,-17.22,49.11
150,-19.63,58.39
155,-17.73,64.47
160,-13.93,59.34
